1. Cód.SAP;2. MATERIAL;3. Descripción;4.CANTIDAD;5.CONDICIÓN;DIÁMETRO;TIPO;GRADO DE ACERO;GRADO DE ACERO CUPLA;TIPO DE CUPLA
1000232228;VÁSTAGO;VASTAGO  BOMBEO Ø 1,1/2 x 24';1;NUEVO;TODOS;TODOS;TODOS;TODOS;TODOS
11195072;CUPLA VÁSTAGO;"CUPLA B/B VAST.1.1/2""x 1""    T   SH";2;NUEVO;1    ;TODOS;TODOS;T;SH
1000535795;CUPLA VÁSTAGO;"CUPLA B/B VAST.1.1/2""X1""    HSMS SH";2;NUEVO;1    ;TODOS;TODOS;HSMS;SH
1000523982;CUPLA VÁSTAGO;"CUPLA B/B VAST.1.1/2""X1""     UHS SH";2;NUEVO;1    ;TODOS;TODOS;UHS;SH
1000008940;CUPLA VÁSTAGO;"CUPLA B/B VAST.1.1/2""x  7/8"" T   SH";2;NUEVO; 7/8;TODOS;TODOS;T;SH
1000011581;CUPLA VÁSTAGO;"CUPLA B/B VAST.1.1/2""x  7/8"" UHS SH";2;NUEVO; 7/8;TODOS;TODOS;UHS;SH
1000535801;CUPLA VÁSTAGO;"CUPLA B/B VAST.1.1/2""X7/8""  HSMS SH";2;NUEVO; 7/8;TODOS;TODOS;HSMS;SH
11100227;TROZO;TROZO B/B.D4142M   7/8 S/CUP       2'                 X 2';4;CONDB; 7/8;LISO;D4142;TODOS;TODOS
11100242;TROZO;TROZO B/B.D4142M   7/8 S/CUP        4'                X 4;2;CONDB; 7/8;LISO;D4142;TODOS;TODOS
11100229;TROZO;TROZO B/B.D4142M   7/8 S/CUP       6'                 X 6;2;CONDB; 7/8;LISO;D4142;TODOS;TODOS
11100231;TROZO;TROZO B/B.D4142M 1     S/CUP       2'                  X 2;4;CONDB;1    ;LISO;D4142;TODOS;TODOS
11100236;TROZO;TROZO B/B.D4142M 1     S/CUP       4'                  X 4;2;CONDB;1    ;LISO;D4142;TODOS;TODOS
11100243;TROZO;TROZO B/B.D4142M 1     S/CUP        6'                X 6;2;CONDB;1    ;LISO;D4142;TODOS;TODOS
1000535604;TROZO;TROZO B/B.DS852  1     S/CUP       2'                    X 2                   ( ALPHAROD  )  ;4;CONDB;1    ;LISO;DS852;TODOS;TODOS
1000535605;TROZO;"TROZO B/B.DS852  1     S/CUP      4""                    X 4                   ( ALPHAROD  )  ";2;CONDB;1    ;LISO;DS852;TODOS;TODOS
1000535606;TROZO;"TROZO B/B.DS852  1     S/CUP       6""                   X 6                   ( ALPHAROD  )  ";2;CONDB;1    ;LISO;DS852;TODOS;TODOS
1000535608;TROZO;TROZO B/B.DS852    7/8 S/CUP       2'                  X 2                   ( ALPHAROD  )  ;4;CONDB; 7/8;LISO;DS852;TODOS;TODOS
1000535609;TROZO;TROZO B/B.DS852    7/8 S/CUP       4'                  X 4                   ( ALPHAROD  )  ;2;CONDB; 7/8;LISO;DS852;TODOS;TODOS
1000535610;TROZO;TROZO B/B.DS852    7/8 S/CUP       6                   X 6                   ( ALPHAROD  )  ;2;CONDB; 7/8;LISO;DS852;TODOS;TODOS
1000579480;TROZO;"TROZO B/B.HS 1"" _ _ 2PIE API11B                        X 2";4;CONDB;1    ;LISO;HS;TODOS;TODOS
1000579567;TROZO;"TROZO B/B.HS 1"" _ _ 4PIE API11B                        X 4";2;CONDB;1    ;LISO;HS;TODOS;TODOS
1000579568;TROZO;"TROZO B/B.HS 1"" _ _ 6PIE API11B                        X 6";2;CONDB;1    ;LISO;HS;TODOS;TODOS
1000588446;TROZO;"TROZO B/B.N78 7/8"" S/CUP._ LISO 2PIE AP*";4;CONDB; 7/8;LISO;78 A°;TODOS;TODOS
1000588443;TROZO;"TROZO B/B.N78 7/8"" S/CUP._ LISO 4PIE AP*";2;CONDB; 7/8;LISO;78 A°;TODOS;TODOS
1000588434;TROZO;"TROZO B/B.N78 7/8"" S/CUP._ LISO 6PIE AP*";2;CONDB; 7/8;LISO;78 A°;TODOS;TODOS
1000572513;TROZO;"TROZO B/B.96 1"" S/CUP._ 2PIE API11B        ( MARCA APEX )";4;CONDB;1    ;LISO;96 A°;TODOS;TODOS
1000572511;TROZO;"TROZO B/B.96 1"" S/CUP._ 4PIE API11B       ( MARCA APEX )";2;CONDB;1    ;LISO;96 A°;TODOS;TODOS
1000572510;TROZO;"TROZO B/B.96 1"" S/CUP._ 6PIE API11B       ( MARCA APEX )";2;CONDB;1    ;LISO;96 A°;TODOS;TODOS
1000588433;TROZO;"TROZO B/B.78 1"" S/CUP._ LISO 2PIE API11B";4;CONDB;1    ;LISO;78 A°;TODOS;TODOS
1000588448;TROZO;"TROZO B/B.78 1"" S/CUP._ LISO 4PIE API11B";2;CONDB;1    ;LISO;78 A°;TODOS;TODOS
1000588447;TROZO;"TROZO B/B.78 1"" S/CUP._ LISO 6PIE API11B";2;CONDB;1    ;LISO;78 A°;TODOS;TODOS
1000048166;TROZO;TROZO B/B.MMSNR    7/8 S/CUP           2'                                                X 2';4;CONDB; 7/8;LISO;MMSNR;TODOS;TODOS
1000048167;TROZO;TROZO B/B.MMSNR    7/8 S/CUP           4'                                                X 4;2;CONDB; 7/8;LISO;MMSNR;TODOS;TODOS
1000048168;TROZO;TROZO B/B.MMSNR    7/8 S/CUP          6'                                                 X 6;2;CONDB; 7/8;LISO;MMSNR;TODOS;TODOS
1000048163;TROZO;TROZO B/B.MMSNR  1     S/CUP           2'                                                   X 2';4;CONDB;1    ;LISO;MMSNR;TODOS;TODOS
1000048165;TROZO;TROZO B/B.MMSNR  1     S/CUP            4'                                                  X 4;2;CONDB;1    ;LISO;MMSNR;TODOS;TODOS
1000048164;TROZO;TROZO B/B.MMSNR  1     S/CUP            6'                                                  X 6;2;CONDB;1    ;LISO;MMSNR;TODOS;TODOS
11100157;CUPLA;"CUPLA B/B T    FS   7/8""";8;NUEVO; 7/8;TODOS;TODOS;T;FS
11100164;CUPLA;"CUPLA B/B T    SH 1""";8;NUEVO;1    ;TODOS;TODOS;T;SH
1000579454;CUPLA;"CUPLA B/B HS 7/8"" FS SER";8;NUEVO; 7/8;TODOS;TODOS;HS;FS
1000579455;CUPLA;"CUPLA B/B HS 1"" SH SER";8;NUEVO;1    ;TODOS;TODOS;HS;SH
1000540241;CUPLA;"CUPLA B/B HSMS FS   7/8""";8;NUEVO; 7/8;TODOS;TODOS;HSMS;FS
1000540242;CUPLA;"CUPLA B/B HSMS SH 1""";8;NUEVO;1    ;TODOS;TODOS;HSMS;SH
1000585828;CUPLA;"CUPLA B/B LSHS 7/8"" SH LW.";8;NUEVO; 7/8;TODOS;TODOS;LSHS;SH
1000585826;CUPLA;"CUPLA B/B LSHS 7/8"" FS LW.";8;NUEVO; 7/8;TODOS;TODOS;LSHS;FS
1000585824;CUPLA;"CUPLA B/B LSHS 1"" SH LW.";8;NUEVO;1    ;TODOS;TODOS;LSHS;SH
1000224715;CUPLA;"CUPLA B/B T    FS   7/8""           E.PPS/                                                 ( CENTRALIZADA-TENARIS )";8;NUEVO; 7/8;TODOS;TODOS;EPPS/Centralizadas (T)_Nuevas;FS
11100171;CUPLA;"CUPLA B/B SM   FS   7/8""";8;NUEVO; 7/8;TODOS;TODOS;SM;FS
11100140;CUPLA;"CUPLA B/B SM   SH 1""";8;NUEVO;1    ;TODOS;TODOS;SM;SH
1000507697;CUPLA;"CUPLA B/B SM   SH   7/8""";8;NUEVO; 7/8;TODOS;TODOS;SM;SH
11100205;CUPLA;"CUPLA B/B UHS  FS   7/8""";8;NUEVO; 7/8;TODOS;TODOS;UHS;FS
11100206;CUPLA;"CUPLA B/B UHS  SH 1""";8;NUEVO;1    ;TODOS;TODOS;UHS;SH
1000079209;CUPLA;"CUPLA B/B T    FS   7/8"" E.TULSA POLIAM.                             ( CENTRALIZADA-TULSA )";8;RECUPERADAS; 7/8;TODOS;TODOS;EPPS/Centralizadas (T)_Recuperadas;FS
1000535633;CUPLA;"CUPLA B/B T    SH 1"" E.PPS TULSA 311900                             ( CENTRALIZADA-TULSA )";8;RECUPERADAS;1    ;TODOS;TODOS;EPPS/Centralizadas (T)_Recuperadas;SH
1000200837;TROZO;ZX B/B.TROZO D 7/8 T 2' 6134*REV.DISCONT       X 2   ( REV. ZOXI ) ;4;CONDB; 7/8;REVESTIDO;D4142;TODOS;TODOS
1000200838;TROZO;ZX B/B.TROZO D 7/8 T 4'6134*REV.DISCONTI       X 4  ( REV. ZOXI ) ;2;CONDB; 7/8;REVESTIDO;D4142;TODOS;TODOS
1000200839;TROZO;ZX B/B.TROZO D 7/8 T  6' 6134*REV.DISCON        X 6   ( REV. ZOXI );2;CONDB; 7/8;REVESTIDO;D4142;TODOS;TODOS
1000200774;TROZO;ZX B/B.TR.D 1 T SH 2'6134*REV.DISC.CPERD        X 2    ( REV. ZOXI );4;CONDB;1    ;REVESTIDO;D4142;TODOS;TODOS
1000200775;TROZO;ZX B/B.TR.D 1 T 4'6134*DISC. CSECO/CPERD      X 4   ( REV. ZOXI );2;CONDB;1    ;REVESTIDO;D4142;TODOS;TODOS
1000200836;TROZO;ZX B/B.TR.D 1 T 6'6134*DISC. CSECO/CPERD      X 6   ( REV. ZOXI );2;CONDB;1    ;REVESTIDO;D4142;TODOS;TODOS
